time_of_day,department,wait_time,patients_waiting,doctors_available,satisfaction_score
2025-01-02 08:00:00,Psychogeriatric Clinic,40.0,15,2,0.4
2025-01-02 09:00:00,Memory Clinic,48.6,15,4,1.6
2025-01-02 09:00:00,Mood Disorders,50.0,18,1,0.5
2025-01-02 09:00:00,Psychogeriatric Clinic,49.1,18,1,0.3
2025-01-02 10:00:00,Memory Clinic,51.4,19,0,0.9
2025-01-02 10:00:00,Mood Disorders,63.2,17,3,0.0
2025-01-02 10:00:00,Psychogeriatric Clinic,60.8,20,0,0.8
2025-01-02 11:00:00,Memory Clinic,62.7,20,1,0.0
2025-01-02 11:00:00,Mood Disorders,65.4,18,0,0.7
2025-01-02 11:00:00,Psychogeriatric Clinic,53.0,23,1,1.3
2025-01-02 12:00:00,Memory Clinic,65.8,19,1,0.5
2025-01-02 12:00:00,Mood Disorders,73.1,19,0,0.5
2025-01-02 12:00:00,Psychogeriatric Clinic,68.3,19,0,0.0
2025-01-02 13:00:00,Memory Clinic,59.3,22,0,0.4
2025-01-02 13:00:00,Mood Disorders,61.1,21,0,1.2
2025-01-02 13:00:00,Psychogeriatric Clinic,51.0,21,0,0.0
2025-01-02 14:00:00,Memory Clinic,49.7,19,1,0.6
2025-01-02 14:00:00,Mood Disorders,50.2,17,0,0.3
2025-01-02 14:00:00,Psychogeriatric Clinic,60.3,22,0,2.8
2025-01-02 15:00:00,Memory Clinic,53.5,14,0,0.0
2025-01-02 15:00:00,Mood Disorders,51.6,17,1,0.0
2025-01-02 15:00:00,Psychogeriatric Clinic,47.7,17,0,0.6
2025-01-02 16:00:00,Memory Clinic,52.4,12,0,0.6
2025-01-02 16:00:00,Mood Disorders,37.8,13,0,0.3
2025-01-02 16:00:00,Psychogeriatric Clinic,38.5,16,3,1.1
2025-01-02 17:00:00,Memory Clinic,37.5,8,2,0.4
2025-01-02 17:00:00,Mood Disorders,41.2,11,0,0.0
2025-01-02 17:00:00,Psychogeriatric Clinic,41.2,11,2,2.4
2025-01-02 18:00:00,Memory Clinic,25.3,10,2,1.6
2025-01-02 18:00:00,Mood Disorders,39.7,10,2,2.2
2025-01-02 18:00:00,Psychogeriatric Clinic,20.8,8,2,1.9
2025-01-02 19:00:00,Memory Clinic,17.2,7,4,3.2
2025-01-02 19:00:00,Mood Disorders,22.5,6,2,2.3
2025-01-02 19:00:00,Psychogeriatric Clinic,14.6,7,5,3.8
2025-01-02 20:00:00,Memory Clinic,12.0,5,4,3.2
2025-01-02 20:00:00,Mood Disorders,11.6,2,3,3.6
2025-01-02 20:00:00,Psychogeriatric Clinic,19.2,3,4,4.3
2025-01-02 21:00:00,Memory Clinic,2.9,3,5,5.0
2025-01-02 21:00:00,Mood Disorders,12.3,1,4,3.7
2025-01-02 21:00:00,Psychogeriatric Clinic,5.1,6,4,5.0
2025-01-02 22:00:00,Memory Clinic,1.7,1,5,2.3
2025-01-02 22:00:00,Mood Disorders,9.0,7,3,4.8
2025-01-02 22:00:00,Psychogeriatric Clinic,3.4,1,5,3.7
2025-01-02 23:00:00,Memory Clinic,2.5,0,3,4.0
2025-01-02 23:00:00,Mood Disorders,5.4,1,5,5.0
2025-01-02 23:00:00,Psychogeriatric Clinic,3.9,0,5,4.3
2025-01-03 00:00:00,Memory Clinic,4.1,0,5,4.0
2025-01-03 00:00:00,Mood Disorders,0.0,1,3,4.8
2025-01-03 00:00:00,Psychogeriatric Clinic,3.7,0,5,4.8
2025-01-03 01:00:00,Memory Clinic,3.1,0,4,4.5
2025-01-03 01:00:00,Mood Disorders,0.0,2,3,5.0
2025-01-03 01:00:00,Psychogeriatric Clinic,0.0,0,5,4.7
2025-01-03 02:00:00,Memory Clinic,14.2,4,5,4.1
2025-01-03 02:00:00,Mood Disorders,4.2,2,5,5.0
2025-01-03 02:00:00,Psychogeriatric Clinic,7.8,0,5,5.0
2025-01-03 03:00:00,Memory Clinic,14.6,3,4,5.0
2025-01-03 03:00:00,Mood Disorders,11.7,4,4,3.9
2025-01-03 03:00:00,Psychogeriatric Clinic,3.1,0,5,2.5
2025-01-03 04:00:00,Memory Clinic,22.0,8,4,4.4
2025-01-03 04:00:00,Mood Disorders,11.9,7,5,2.7
2025-01-03 04:00:00,Psychogeriatric Clinic,19.4,2,4,4.3
2025-01-03 05:00:00,Memory Clinic,21.2,6,3,3.0
2025-01-03 05:00:00,Mood Disorders,17.2,7,3,2.5
2025-01-03 05:00:00,Psychogeriatric Clinic,23.5,7,3,3.2
2025-01-03 06:00:00,Memory Clinic,36.3,12,1,2.9
2025-01-03 06:00:00,Mood Disorders,25.1,7,0,3.0
2025-01-03 06:00:00,Psychogeriatric Clinic,36.4,11,1,1.3
2025-01-03 07:00:00,Memory Clinic,35.3,12,2,3.4
2025-01-03 07:00:00,Mood Disorders,42.3,12,3,3.1
2025-01-03 07:00:00,Psychogeriatric Clinic,41.4,14,2,1.9
2025-01-03 08:00:00,Memory Clinic,44.8,17,2,2.7
2025-01-03 08:00:00,Mood Disorders,45.9,15,1,1.5
2025-01-03 08:00:00,Psychogeriatric Clinic,46.7,15,1,1.7
2025-01-03 09:00:00,Memory Clinic,46.8,18,3,0.1
2025-01-03 09:00:00,Mood Disorders,47.9,19,0,0.0
2025-01-03 09:00:00,Psychogeriatric Clinic,59.0,19,1,0.5
2025-01-03 10:00:00,Memory Clinic,54.5,19,0,1.7
2025-01-03 10:00:00,Mood Disorders,54.3,19,0,0.3
2025-01-03 10:00:00,Psychogeriatric Clinic,63.1,22,0,1.3
2025-01-03 11:00:00,Memory Clinic,55.3,21,0,0.0
2025-01-03 11:00:00,Mood Disorders,61.9,24,0,0.0
2025-01-03 11:00:00,Psychogeriatric Clinic,59.6,21,0,2.1
2025-01-03 12:00:00,Memory Clinic,50.3,17,0,0.0
2025-01-03 12:00:00,Mood Disorders,69.3,16,0,1.1
2025-01-03 12:00:00,Psychogeriatric Clinic,63.3,18,0,0.0
2025-01-03 13:00:00,Memory Clinic,58.4,23,0,2.1
2025-01-03 13:00:00,Mood Disorders,60.1,21,0,1.2
2025-01-03 13:00:00,Psychogeriatric Clinic,64.0,21,0,0.0
2025-01-03 14:00:00,Memory Clinic,57.9,17,0,1.3
2025-01-03 14:00:00,Mood Disorders,57.3,20,1,0.0
2025-01-03 14:00:00,Psychogeriatric Clinic,65.6,19,0,0.0
2025-01-03 15:00:00,Memory Clinic,43.0,18,0,0.0
2025-01-03 15:00:00,Mood Disorders,58.6,18,2,0.6
2025-01-03 15:00:00,Psychogeriatric Clinic,60.1,19,1,0.1
2025-01-03 16:00:00,Memory Clinic,47.3,13,1,1.9
2025-01-03 16:00:00,Mood Disorders,46.5,16,2,0.4
2025-01-03 16:00:00,Psychogeriatric Clinic,50.3,16,0,0.5
2025-01-03 17:00:00,Memory Clinic,41.6,13,2,1.0
2025-01-03 17:00:00,Mood Disorders,31.1,15,2,2.3
2025-01-03 17:00:00,Psychogeriatric Clinic,32.0,13,0,1.9
2025-01-03 18:00:00,Memory Clinic,32.7,11,0,5.0
2025-01-03 18:00:00,Mood Disorders,27.2,11,0,3.3
2025-01-03 18:00:00,Psychogeriatric Clinic,32.0,8,1,3.3
2025-01-03 19:00:00,Memory Clinic,20.1,3,2,3.5
2025-01-03 19:00:00,Mood Disorders,15.9,5,4,1.5
2025-01-03 19:00:00,Psychogeriatric Clinic,28.8,7,1,3.2
2025-01-03 20:00:00,Memory Clinic,20.6,5,4,4.1
2025-01-03 20:00:00,Mood Disorders,15.4,5,4,3.8
2025-01-03 20:00:00,Psychogeriatric Clinic,7.4,3,4,4.5
2025-01-03 21:00:00,Memory Clinic,15.8,4,5,4.2
2025-01-03 21:00:00,Mood Disorders,2.4,3,5,4.4
2025-01-03 21:00:00,Psychogeriatric Clinic,8.4,1,4,4.2
2025-01-03 22:00:00,Memory Clinic,5.7,0,5,5.0
2025-01-03 22:00:00,Mood Disorders,4.6,0,5,4.4
2025-01-03 22:00:00,Psychogeriatric Clinic,0.0,0,5,3.7
2025-01-03 23:00:00,Memory Clinic,5.0,1,5,4.7
2025-01-03 23:00:00,Mood Disorders,0.0,1,5,4.9
2025-01-03 23:00:00,Psychogeriatric Clinic,0.0,0,5,5.0
2025-01-04 00:00:00,Memory Clinic,0.0,0,5,4.6
2025-01-04 00:00:00,Mood Disorders,0.0,0,4,3.7
2025-01-04 00:00:00,Psychogeriatric Clinic,0.0,0,4,3.8
2025-01-04 01:00:00,Memory Clinic,0.0,0,5,4.3
2025-01-04 01:00:00,Mood Disorders,1.5,0,5,5.0
2025-01-04 01:00:00,Psychogeriatric Clinic,0.0,0,5,4.6
2025-01-04 02:00:00,Memory Clinic,2.4,2,5,4.5
2025-01-04 02:00:00,Mood Disorders,11.1,2,5,5.0
2025-01-04 02:00:00,Psychogeriatric Clinic,11.6,1,4,4.9
2025-01-04 03:00:00,Memory Clinic,14.6,0,5,4.5
2025-01-04 03:00:00,Mood Disorders,8.3,1,4,4.3
2025-01-04 03:00:00,Psychogeriatric Clinic,7.8,0,3,3.8
2025-01-04 04:00:00,Memory Clinic,15.8,5,4,5.0
2025-01-04 04:00:00,Mood Disorders,11.6,2,4,3.6
2025-01-04 04:00:00,Psychogeriatric Clinic,14.4,7,4,3.9
2025-01-04 05:00:00,Memory Clinic,16.2,4,3,1.9
2025-01-04 05:00:00,Mood Disorders,19.9,9,1,2.4
2025-01-04 05:00:00,Psychogeriatric Clinic,20.9,3,3,2.3
2025-01-04 06:00:00,Memory Clinic,31.2,11,1,2.2
2025-01-04 06:00:00,Mood Disorders,24.3,10,1,1.6
2025-01-04 06:00:00,Psychogeriatric Clinic,36.4,10,1,3.2
2025-01-04 07:00:00,Memory Clinic,33.2,12,0,2.7
2025-01-04 07:00:00,Mood Disorders,39.8,13,1,1.7
2025-01-04 07:00:00,Psychogeriatric Clinic,37.3,15,2,0.9
2025-01-04 08:00:00,Memory Clinic,37.4,16,1,2.5
2025-01-04 08:00:00,Mood Disorders,53.5,14,2,0.8
2025-01-04 08:00:00,Psychogeriatric Clinic,42.4,18,1,0.0
2025-01-04 09:00:00,Memory Clinic,44.2,15,1,2.3
2025-01-04 09:00:00,Mood Disorders,53.1,21,1,0.2
2025-01-04 09:00:00,Psychogeriatric Clinic,64.7,18,0,0.0
2025-01-04 10:00:00,Memory Clinic,55.8,19,0,2.1
2025-01-04 10:00:00,Mood Disorders,58.4,18,0,0.2
2025-01-04 10:00:00,Psychogeriatric Clinic,52.8,20,2,1.0
2025-01-04 11:00:00,Memory Clinic,65.5,24,0,0.0
2025-01-04 11:00:00,Mood Disorders,65.8,19,1,0.0
2025-01-04 11:00:00,Psychogeriatric Clinic,62.7,23,1,0.0
2025-01-04 12:00:00,Memory Clinic,45.2,22,0,0.5
2025-01-04 12:00:00,Mood Disorders,59.5,19,0,0.6
2025-01-04 12:00:00,Psychogeriatric Clinic,61.5,21,0,0.8
2025-01-04 13:00:00,Memory Clinic,64.4,20,0,0.0
2025-01-04 13:00:00,Mood Disorders,61.1,21,0,0.8
2025-01-04 13:00:00,Psychogeriatric Clinic,58.4,19,1,0.0
2025-01-04 14:00:00,Memory Clinic,59.2,22,1,1.6
2025-01-04 14:00:00,Mood Disorders,52.6,18,0,1.4
2025-01-04 14:00:00,Psychogeriatric Clinic,60.4,22,0,0.0
2025-01-04 15:00:00,Memory Clinic,48.7,18,0,0.0
2025-01-04 15:00:00,Mood Disorders,53.5,15,3,0.2
2025-01-04 15:00:00,Psychogeriatric Clinic,52.0,13,0,1.7
2025-01-04 16:00:00,Memory Clinic,45.9,16,0,1.7
2025-01-04 16:00:00,Mood Disorders,35.4,17,1,0.8
2025-01-04 16:00:00,Psychogeriatric Clinic,39.4,18,0,1.3
2025-01-04 17:00:00,Memory Clinic,30.4,14,2,0.0
2025-01-04 17:00:00,Mood Disorders,44.7,10,0,1.8
2025-01-04 17:00:00,Psychogeriatric Clinic,33.5,12,1,1.1
2025-01-04 18:00:00,Memory Clinic,23.2,10,3,3.1
2025-01-04 18:00:00,Mood Disorders,32.5,10,2,2.1
2025-01-04 18:00:00,Psychogeriatric Clinic,32.8,8,0,2.0
2025-01-04 19:00:00,Memory Clinic,29.4,4,3,3.7
2025-01-04 19:00:00,Mood Disorders,27.2,6,1,2.7
2025-01-04 19:00:00,Psychogeriatric Clinic,19.7,7,2,2.9
2025-01-04 20:00:00,Memory Clinic,14.5,5,4,4.8
2025-01-04 20:00:00,Mood Disorders,12.0,3,4,1.3
2025-01-04 20:00:00,Psychogeriatric Clinic,22.0,7,4,1.4
2025-01-04 21:00:00,Memory Clinic,6.2,2,5,5.0
2025-01-04 21:00:00,Mood Disorders,16.6,6,3,3.0
2025-01-04 21:00:00,Psychogeriatric Clinic,5.4,2,5,4.9
2025-01-04 22:00:00,Memory Clinic,11.6,2,4,5.0
2025-01-04 22:00:00,Mood Disorders,7.2,0,5,4.4
2025-01-04 22:00:00,Psychogeriatric Clinic,1.9,0,5,5.0
2025-01-04 23:00:00,Memory Clinic,0.0,3,5,5.0
2025-01-04 23:00:00,Mood Disorders,1.3,1,5,4.2
2025-01-04 23:00:00,Psychogeriatric Clinic,0.3,0,5,4.2
2025-01-05 00:00:00,Memory Clinic,0.0,0,5,3.9
2025-01-05 00:00:00,Mood Disorders,5.9,1,3,4.9
2025-01-05 00:00:00,Psychogeriatric Clinic,0.0,2,5,5.0
2025-01-05 01:00:00,Memory Clinic,1.1,0,5,4.5
2025-01-05 01:00:00,Mood Disorders,1.9,0,5,4.0
2025-01-05 01:00:00,Psychogeriatric Clinic,3.3,2,4,5.0
2025-01-05 02:00:00,Memory Clinic,1.4,3,5,5.0
2025-01-05 02:00:00,Mood Disorders,0.4,0,5,5.0
2025-01-05 02:00:00,Psychogeriatric Clinic,0.0,0,5,5.0
2025-01-05 03:00:00,Memory Clinic,8.5,4,3,4.5
2025-01-05 03:00:00,Mood Disorders,11.7,6,4,5.0
2025-01-05 03:00:00,Psychogeriatric Clinic,17.5,4,5,3.9
2025-01-05 04:00:00,Memory Clinic,24.3,4,4,4.4
2025-01-05 04:00:00,Mood Disorders,9.6,10,4,1.6
2025-01-05 04:00:00,Psychogeriatric Clinic,11.6,7,5,5.0
2025-01-05 05:00:00,Memory Clinic,26.1,5,4,3.2
2025-01-05 05:00:00,Mood Disorders,20.9,9,3,0.5
2025-01-05 05:00:00,Psychogeriatric Clinic,17.7,5,3,2.8
2025-01-05 06:00:00,Memory Clinic,34.7,9,2,0.2
2025-01-05 06:00:00,Mood Disorders,34.6,9,2,1.8
2025-01-05 06:00:00,Psychogeriatric Clinic,24.5,11,4,4.0
2025-01-05 07:00:00,Memory Clinic,38.6,14,3,2.1
2025-01-05 07:00:00,Mood Disorders,34.3,11,3,1.7
2025-01-05 07:00:00,Psychogeriatric Clinic,40.9,14,1,3.0
2025-01-05 08:00:00,Memory Clinic,40.7,15,1,1.1
2025-01-05 08:00:00,Mood Disorders,46.1,11,1,1.8
2025-01-05 08:00:00,Psychogeriatric Clinic,52.0,14,2,0.3
2025-01-05 09:00:00,Memory Clinic,49.6,19,1,2.0
2025-01-05 09:00:00,Mood Disorders,46.0,18,0,0.4
2025-01-05 09:00:00,Psychogeriatric Clinic,48.9,19,2,1.4
2025-01-05 10:00:00,Memory Clinic,46.6,22,0,0.0
2025-01-05 10:00:00,Mood Disorders,54.2,19,0,0.2
2025-01-05 10:00:00,Psychogeriatric Clinic,58.4,24,0,0.9
2025-01-05 11:00:00,Memory Clinic,61.6,22,0,2.2
2025-01-05 11:00:00,Mood Disorders,49.5,24,1,0.0
2025-01-05 11:00:00,Psychogeriatric Clinic,58.0,17,0,0.5
2025-01-05 12:00:00,Memory Clinic,59.7,21,0,0.2
2025-01-05 12:00:00,Mood Disorders,61.9,21,1,0.0
2025-01-05 12:00:00,Psychogeriatric Clinic,57.5,21,0,0.5
2025-01-05 13:00:00,Memory Clinic,57.1,20,0,0.0
2025-01-05 13:00:00,Mood Disorders,64.9,20,0,1.2
2025-01-05 13:00:00,Psychogeriatric Clinic,70.9,22,0,1.0
2025-01-05 14:00:00,Memory Clinic,45.3,20,0,0.0
2025-01-05 14:00:00,Mood Disorders,61.8,18,0,0.8
2025-01-05 14:00:00,Psychogeriatric Clinic,53.8,17,0,0.5
2025-01-05 15:00:00,Memory Clinic,49.8,16,0,1.6
2025-01-05 15:00:00,Mood Disorders,50.5,18,3,2.0
2025-01-05 15:00:00,Psychogeriatric Clinic,52.4,16,0,2.3
2025-01-05 16:00:00,Memory Clinic,46.8,14,3,0.3
2025-01-05 16:00:00,Mood Disorders,43.5,15,3,0.5
2025-01-05 16:00:00,Psychogeriatric Clinic,49.0,16,1,0.9
2025-01-05 17:00:00,Memory Clinic,35.5,11,1,1.8
2025-01-05 17:00:00,Mood Disorders,38.9,12,2,2.8
2025-01-05 17:00:00,Psychogeriatric Clinic,35.4,10,1,1.5
2025-01-05 18:00:00,Memory Clinic,32.6,14,2,3.3
2025-01-05 18:00:00,Mood Disorders,25.9,8,0,3.1
2025-01-05 18:00:00,Psychogeriatric Clinic,32.8,10,2,3.7
2025-01-05 19:00:00,Memory Clinic,26.6,6,2,3.7
2025-01-05 19:00:00,Mood Disorders,19.7,4,4,2.8
2025-01-05 19:00:00,Psychogeriatric Clinic,17.5,5,3,3.4
2025-01-05 20:00:00,Memory Clinic,14.7,7,5,5.0
2025-01-05 20:00:00,Mood Disorders,16.8,4,3,3.9
2025-01-05 20:00:00,Psychogeriatric Clinic,14.7,5,5,3.7
2025-01-05 21:00:00,Memory Clinic,5.1,3,5,4.5
2025-01-05 21:00:00,Mood Disorders,13.3,2,4,5.0
2025-01-05 21:00:00,Psychogeriatric Clinic,0.0,3,4,4.8
2025-01-05 22:00:00,Memory Clinic,8.7,2,4,4.3
2025-01-05 22:00:00,Mood Disorders,5.6,0,4,4.7
2025-01-05 22:00:00,Psychogeriatric Clinic,5.4,0,5,5.0
2025-01-05 23:00:00,Memory Clinic,0.0,0,5,3.4
2025-01-05 23:00:00,Mood Disorders,0.0,0,5,5.0
2025-01-05 23:00:00,Psychogeriatric Clinic,0.7,0,5,4.1
2025-01-06 00:00:00,Memory Clinic,0.0,0,5,4.4
2025-01-06 00:00:00,Mood Disorders,0.0,0,4,3.7
2025-01-06 00:00:00,Psychogeriatric Clinic,0.0,1,3,5.0
2025-01-06 01:00:00,Memory Clinic,0.0,0,5,3.8
2025-01-06 01:00:00,Mood Disorders,7.7,3,5,3.6
2025-01-06 01:00:00,Psychogeriatric Clinic,0.7,0,5,4.5
2025-01-06 02:00:00,Memory Clinic,0.6,0,4,4.0
2025-01-06 02:00:00,Mood Disorders,6.0,0,4,4.0
2025-01-06 02:00:00,Psychogeriatric Clinic,10.1,5,5,4.7
2025-01-06 03:00:00,Memory Clinic,19.1,6,5,4.4
2025-01-06 03:00:00,Mood Disorders,3.6,2,5,4.9
2025-01-06 03:00:00,Psychogeriatric Clinic,13.2,4,5,3.9
2025-01-06 04:00:00,Memory Clinic,18.2,4,5,4.3
2025-01-06 04:00:00,Mood Disorders,6.7,5,4,3.4
2025-01-06 04:00:00,Psychogeriatric Clinic,11.2,3,4,4.4
2025-01-06 05:00:00,Memory Clinic,19.7,7,1,3.0
2025-01-06 05:00:00,Mood Disorders,30.3,4,2,3.9
2025-01-06 05:00:00,Psychogeriatric Clinic,30.6,6,2,2.1
2025-01-06 06:00:00,Memory Clinic,35.3,7,2,4.3
2025-01-06 06:00:00,Mood Disorders,30.9,8,1,0.5
2025-01-06 06:00:00,Psychogeriatric Clinic,35.2,10,4,2.6
2025-01-06 07:00:00,Memory Clinic,37.1,12,5,2.0
2025-01-06 07:00:00,Mood Disorders,41.4,15,2,2.1
2025-01-06 07:00:00,Psychogeriatric Clinic,46.5,11,2,3.9
2025-01-06 08:00:00,Memory Clinic,49.2,14,1,1.5
2025-01-06 08:00:00,Mood Disorders,44.4,16,0,1.4
2025-01-06 08:00:00,Psychogeriatric Clinic,40.0,15,3,1.3
2025-01-06 09:00:00,Memory Clinic,48.5,19,1,0.0
2025-01-06 09:00:00,Mood Disorders,50.9,13,1,0.0
2025-01-06 09:00:00,Psychogeriatric Clinic,51.3,17,1,1.5
2025-01-06 10:00:00,Memory Clinic,57.3,23,0,1.1
2025-01-06 10:00:00,Mood Disorders,60.1,19,0,2.0
2025-01-06 10:00:00,Psychogeriatric Clinic,65.5,17,0,0.1
2025-01-06 11:00:00,Memory Clinic,61.9,21,1,1.0
2025-01-06 11:00:00,Mood Disorders,64.5,22,1,0.0
2025-01-06 11:00:00,Psychogeriatric Clinic,57.7,23,0,0.0
2025-01-06 12:00:00,Memory Clinic,56.6,21,0,1.0
2025-01-06 12:00:00,Mood Disorders,69.2,18,1,1.2
2025-01-06 12:00:00,Psychogeriatric Clinic,56.5,19,1,1.3
2025-01-06 13:00:00,Memory Clinic,60.9,18,0,0.0
2025-01-06 13:00:00,Mood Disorders,55.8,21,0,0.0
